,Unnamed: 0
0.0,38576.0
100.0,25.0
150.0,5.0
175.0,5.0
200.0,217.0
229.0,2.0
230.0,4.0
250.0,66.0
300.0,18.0
325.0,2.0
400.0,87.0
444.0,6.0
450.0,10.0
459.0,4.0
461.0,4.0
500.0,624.0
550.0,15.0
575.0,2.0
600.0,57.0
650.0,12.0
700.0,185.0
746.0,5.0
750.0,54.0
800.0,20.0
841.0,2.0
850.0,2.0
900.0,76.0
950.0,16.0
1000.0,204.0
1050.0,21.0
1100.0,49.0
1115.0,1.0
1150.0,10.0
1200.0,28.0
1250.0,24.0
1300.0,17.0
1400.0,12.0
1500.0,103.0
1550.0,2.0
1600.0,6.0
1640.0,1.0
1650.0,11.0
1750.0,4.0
2000.0,172.0
2010.0,8.0
2050.0,5.0
2060.0,23.0
2100.0,2.0
2110.0,9.0
2160.0,5.0
2210.0,14.0
2219.0,3.0
2240.0,2.0
2290.0,5.0
2390.0,2.0
2450.0,3.0
2470.0,3.0
2471.0,4.0
2500.0,237.0
2600.0,5.0
2610.0,1.0
2700.0,16.0
2750.0,7.0
2900.0,3.0
2950.0,14.0
3000.0,179.0
3100.0,2.0
3150.0,2.0
3200.0,26.0
3250.0,8.0
3400.0,15.0
3450.0,5.0
3500.0,80.0
3600.0,5.0
3650.0,3.0
3700.0,13.0
3850.0,5.0
3900.0,8.0
4000.0,82.0
4100.0,9.0
4200.0,4.0
4250.0,3.0
4420.0,1.0
4450.0,2.0
4500.0,29.0
4520.0,1.0
4700.0,4.0
>5000,6417.0
