Bond $,Count
0,38576.0
100,25.0
150,5.0
175,5.0
200,217.0
229,2.0
230,4.0
250,66.0
300,18.0
325,2.0
400,87.0
444,6.0
450,10.0
459,4.0
461,4.0
500,624.0
550,15.0
575,2.0
600,57.0
650,12.0
700,185.0
746,5.0
750,54.0
800,20.0
841,2.0
850,2.0
900,76.0
950,16.0
1000,204.0
1050,21.0
1100,49.0
1115,1.0
1150,10.0
1200,28.0
1250,24.0
1300,17.0
1400,12.0
1500,103.0
1550,2.0
1600,6.0
1640,1.0
1650,11.0
1750,4.0
2000,172.0
2010,8.0
2050,5.0
2060,23.0
2100,2.0
2110,9.0
2160,5.0
2210,14.0
2219,3.0
2240,2.0
2290,5.0
2390,2.0
2450,3.0
2470,3.0
2471,4.0
2500,237.0
2600,5.0
2610,1.0
2700,16.0
2750,7.0
2900,3.0
2950,14.0
3000,179.0
3100,2.0
3150,2.0
3200,26.0
3250,8.0
3400,15.0
3450,5.0
3500,80.0
3600,5.0
3650,3.0
3700,13.0
3850,5.0
3900,8.0
4000,82.0
4100,9.0
4200,4.0
4250,3.0
4420,1.0
4450,2.0
4500,29.0
4520,1.0
4700,4.0
5000,6417.0
