info,count
"('1', 'Asian')",3.0
"('1', 'Black')",1136.0
"('1', 'F')",129.0
"('1', 'Hispanic')",1.0
"('1', 'M')",1315.0
"('1', 'RELEASED')",360.0
"('1', 'White')",304.0
"('1', 'avgbond')",3801.51045701007
"('2', 'Asian')",5.0
"('2', 'Black')",569.0
"('2', 'F')",137.0
"('2', 'Hispanic')",3.0
"('2', 'M')",722.0
"('2', 'RELEASED')",192.0
"('2', 'White')",282.0
"('2', 'avgbond')",1422.405112316034
"('3', 'Black')",41.0
"('3', 'M')",45.0
"('3', 'RELEASED')",11.0
"('3', 'White')",4.0
"('3', 'avgbond')",5.809450038729667
"('4', 'Black')",176.0
"('4', 'F')",14.0
"('4', 'M')",202.0
"('4', 'RELEASED')",46.0
"('4', 'White')",40.0
"('4', 'avgbond')",273.431448489543
"('5', 'Black')",17.0
"('5', 'M')",18.0
"('5', 'RELEASED')",1.0
"('5', 'White')",1.0
"('5', 'avgbond')",0.0
